,identifier,time,returns,position,captured_returns,daily_vol,captured_returns_0_5_bps,captured_returns_1_0_bps,captured_returns_1_5_bps,captured_returns_2_0_bps,captured_returns_2_5_bps,captured_returns_3_0_bps
0,ADM,2021-01-04,0.0120797153896136,0.99971086,0.012076222634954245,0.01521481418284,0.012076222634954245,0.012076222634954245,0.012076222634954245,0.012076222634954245,0.012076222634954245,0.012076222634954245
1,ADM,2021-01-05,0.0249685607926243,-0.9998378,-0.02496451128560736,0.0153341305771657,-0.025026360369786272,-0.02508820945396519,-0.0251500585381441,-0.025211907622323015,-0.02527375670650193,-0.025335605790680844
2,ADM,2021-01-06,-0.0050461822812737,-0.99993634,0.005045861052609993,0.0166368170276399,0.005043451719259724,0.005041042385909455,0.005038633052559186,0.005036223719208917,0.005033814385858648,0.005031405052508379
3,ADM,2021-01-07,0.0015298081561567,0.99990135,0.0015296572471799998,0.0164930962944906,0.0014726180252598985,0.001415578803339797,0.0013585395814196958,0.0013015003594995943,0.001244461137579493,0.0011874219156593915
4,ADM,2021-01-08,-0.0058730266914235,0.9992112,-0.005868394001754707,0.0162205996980587,-0.005868855083494032,-0.005869316165233356,-0.005869777246972681,-0.005870238328712005,-0.005870699410451329,-0.005871160492190654
5,ADM,2021-01-11,-0.007214702565911,0.9997797,-0.00721311317583081,0.0161070216795741,-0.00721333507425525,-0.007213556972679691,-0.00721377887110413,-0.00721400076952857,-0.00721422266795301,-0.0072144445663774506
6,ADM,2021-01-12,0.0042392950383556,0.99899197,0.00423502168587038,0.0160448606991066,0.00423493126566079,0.0042348408454512,0.00423475042524161,0.00423466000503202,0.004234569584822431,0.00423447916461284
7,ADM,2021-01-13,0.0126963317324755,-0.9976316,-0.01266626186025177,0.0158134724977962,-0.01272548411201792,-0.012784706363784067,-0.012843928615550216,-0.012903150867316363,-0.012962373119082512,-0.01302159537084866
8,ADM,2021-01-14,-0.0075093373917254,-0.9999578,0.0075090204970228855,0.0159461139607942,0.007508841487793879,0.007508662478564872,0.007508483469335864,0.0075083044601068575,0.007508125450877851,0.007507946441648844
9,ADM,2021-01-15,0.0102394840146883,0.99919045,0.01023119463748248,0.0159105401103186,0.010171897162191787,0.010112599686901093,0.010053302211610398,0.009994004736319704,0.00993470726102901,0.009875409785738316
10,ADM,2021-01-19,0.0044790029336252,-0.9999502,-0.004478779747224517,0.0158918739618434,-0.0045381781140153505,-0.004597576480806184,-0.004656974847597016,-0.00471637321438785,-0.004775771581178683,-0.0048351699479695165
11,ADM,2021-01-20,-0.0080088972107668,-0.9988663,0.007999817681424819,0.0156575149687804,0.00799940542263207,0.007998993163839318,0.007998580905046569,0.007998168646253818,0.007997756387461068,0.007997344128668319
12,ADM,2021-01-21,0.0003429942724819,0.99892527,0.0003426256457844121,0.0156557440786648,0.00028234014001785886,0.0002220546342513056,0.00016176912848475235,0.00010148362271819909,4.1198116951645844e-05,-1.9087388814907397e-05
13,ADM,2021-01-22,0.0031366458689269,0.99997866,0.0031365789377256164,0.0153989414198396,0.0031360438947230706,0.003135508851720525,0.0031349738087179785,0.0031344387657154327,0.003133903722712887,0.003133368679710341
14,ADM,2021-01-25,-0.01068693453,-0.9756478,0.010426684239043154,0.0151553687158853,0.010365588866118752,0.010304493493194351,0.01024339812026995,0.010182302747345547,0.010121207374421145,0.010060112001496745
15,ADM,2021-01-26,-0.0307803440159051,0.99543744,-0.030639906949744333,0.0152963140817914,-0.0307010679032717,-0.03076222885679907,-0.030823389810326434,-0.0308845507638538,-0.030945711717381166,-0.031006872670908535
16,ADM,2021-01-27,0.0154573296329138,0.1354493,0.0020936845586659292,0.0176313690197138,0.002066568129998747,0.002039451701331565,0.002012335272664383,0.0019852188439972007,0.0019581024153300184,0.0019309859866628366
17,ADM,2021-01-28,-0.0102272172005817,-0.9999779,0.010226991042822188,0.0181124911282484,0.01019727756082754,0.010167564078832894,0.010137850596838246,0.0101081371148436,0.010078423632848952,0.010048710150854305
18,ADM,2021-01-29,0.004884482150254,0.98844737,0.004828053526169743,0.0181808199205873,0.00477628331351037,0.004724513100850997,0.004672742888191624,0.004620972675532252,0.0045692024628728786,0.004517432250213506
19,ADM,2021-02-01,0.0047942981702784,-0.99970186,-0.004792868786556587,0.0179599214805763,-0.004844853322775445,-0.004896837858994302,-0.00494882239521316,-0.005000806931432018,-0.0050527914676508755,-0.005104776003869734
20,ADM,2021-02-02,0.0052299795040583,-0.999452,-0.005227113448595921,0.0177338105859763,-0.005227442102406143,-0.005227770756216365,-0.005228099410026587,-0.005228428063836809,-0.005228756717647031,-0.0052290853714572535
21,ADM,2021-02-03,0.0113239835722378,-0.99971306,-0.011320734305081868,0.0175192114158425,-0.01132106750830498,-0.011321400711528092,-0.011321733914751204,-0.011322067117974318,-0.01132240032119743,-0.011322733524420541
22,ADM,2021-02-04,0.00797175092068,-0.9999602,-0.007971433518220914,0.0176038294893307,-0.007971556479423879,-0.007971679440626845,-0.007971802401829809,-0.007971925363032775,-0.00797204832423574,-0.007972171285438706
23,ADM,2021-02-05,0.0035503294012793,-0.99989486,-0.0035499561104386824,0.0174768506525516,-0.003550149332640573,-0.003550342554842463,-0.0035505357770443534,-0.003550728999246244,-0.003550922221448134,-0.0035511154436500244
24,ADM,2021-02-08,0.0084952916902206,-0.9889432,-0.008401361112041282,0.0172076300123611,-0.008401483323218143,-0.008401605534395005,-0.008401727745571866,-0.008401849956748727,-0.008401972167925587,-0.00840209437910245
