,identifier,time,returns,position,captured_returns
76,ADM,2023-04-24,-0.0431358786898759,-1.0,0.0431358786898759
77,ADM,2023-04-25,0.0082750093423094,-1.0,-0.0082750093423094
78,ADM,2023-04-26,0.0070739368708871,-1.0,-0.0070739368708871
79,ADM,2023-04-27,0.0005014972758874,-1.0,-0.0005014972758874
80,ADM,2023-04-28,-0.0020374337115795,-1.0,0.0020374337115795
81,ADM,2023-05-01,-0.0169231210777983,-1.0,0.0169231210777983
82,ADM,2023-05-02,-0.0037076508986784,-1.0,0.0037076508986784
83,ADM,2023-05-03,-0.006064518151323,-1.0,0.006064518151323
84,ADM,2023-05-04,0.0134974305444848,-1.0,-0.0134974305444848
85,ADM,2023-05-05,-0.0041476022737102,-1.0,0.0041476022737102
86,ADM,2023-05-08,-0.0028772779649946,-1.0,0.0028772779649946
87,ADM,2023-05-09,-0.0029385315977956,-1.0,0.0029385315977956
88,ADM,2023-05-10,0.0020534543648422,-1.0,-0.0020534543648422
89,ADM,2023-05-11,0.003833940467413,-1.0,-0.003833940467413
90,ADM,2023-05-12,0.0054630498234514,-1.0,-0.0054630498234514
91,ADM,2023-05-15,-0.0233817610174401,-1.0,0.0233817610174401
92,ADM,2023-05-16,-0.0007781502910749,-1.0,0.0007781502910749
93,ADM,2023-05-17,-0.0020598815535859,-1.0,0.0020598815535859
94,ADM,2023-05-18,0.0035568850915015,-1.0,-0.0035568850915015
95,ADM,2023-05-19,0.0017079137541493,-1.0,-0.0017079137541493
96,ADM,2023-05-22,0.0132541877300972,-1.0,-0.0132541877300972
97,ADM,2023-05-23,-0.0173577465245641,-1.0,0.0173577465245641
98,ADM,2023-05-24,0.0068442969283535,-1.0,-0.0068442969283535
99,ADM,2023-05-25,-0.007732865664433,-1.0,0.007732865664433
100,ADM,2023-05-26,-0.0103765290752378,-1.0,0.0103765290752378
101,ADM,2023-05-30,-0.006346221631281,-1.0,0.006346221631281
102,ADM,2023-05-31,-0.0008327500496388,-1.0,0.0008327500496388
103,ADM,2023-06-01,0.0120393177333109,-1.0,-0.0120393177333109
104,ADM,2023-06-02,-0.005718622044892,-1.0,0.005718622044892
105,ADM,2023-06-05,0.0093591641997657,-1.0,-0.0093591641997657
106,ADM,2023-06-06,0.0079459290395525,-1.0,-0.0079459290395525
107,ADM,2023-06-07,-0.009394995823516,-1.0,0.009394995823516
108,ADM,2023-06-08,0.0028057043533644,-1.0,-0.0028057043533644
109,ADM,2023-06-09,0.0052472809181867,-1.0,-0.0052472809181867
110,ADM,2023-06-12,0.0092549693716518,-1.0,-0.0092549693716518
