Date,Adj_Close
2016-01-04,71.19
2016-01-05,71.7
2016-01-06,71.86
2016-01-07,71.2
2016-01-08,71.04
2016-01-11,71.83
2016-01-12,71.27
2016-01-13,71.7
2016-01-14,72.37
2016-01-15,72.08
2016-01-19,73.16
2016-01-20,71.42
2016-01-21,71.09
2016-01-22,72.18
2016-01-25,71.8
2016-01-26,72.22
2016-01-27,72.41
2016-01-28,73.47
2016-01-29,75.3
2016-02-01,77.0
2016-02-02,76.75
2016-02-03,78.56
2016-02-04,78.58
2016-02-05,79.04
2016-02-08,79.17
2016-02-09,78.93
2016-02-10,78.12
2016-02-11,76.8
2016-02-12,76.24
2016-02-16,76.29
2016-02-17,75.5
2016-02-18,76.21
2016-02-19,74.55
2016-02-22,74.84
2016-02-23,74.81
2016-02-24,74.95
2016-02-25,76.44
2016-02-26,74.03
2016-02-29,74.28
2016-03-01,73.35
2016-03-02,73.63
2016-03-03,74.33
2016-03-04,75.17
2016-03-07,76.25
2016-03-08,77.27
2016-03-09,77.51
2016-03-10,77.26
2016-03-11,77.76
2016-03-14,77.72
2016-03-15,78.05
2016-03-16,78.95
2016-03-17,79.99
2016-03-18,79.67
2016-03-21,79.52
2016-03-22,78.88
2016-03-23,79.81
2016-03-24,79.75
2016-03-28,79.48
2016-03-29,80.44
2016-03-30,80.35
2016-03-31,80.68
2016-04-01,81.13
2016-04-04,81.09
2016-04-05,79.9
2016-04-06,79.36
2016-04-07,79.29
2016-04-08,79.77
2016-04-11,79.44
2016-04-12,80.22
2016-04-13,79.63
2016-04-14,79.45
2016-04-15,80.0
2016-04-18,80.4
2016-04-19,79.79
2016-04-20,78.2
2016-04-21,76.34
2016-04-22,77.01
2016-04-25,76.76
2016-04-26,76.95
2016-04-27,78.06
2016-04-28,78.34
2016-04-29,78.78
2016-05-02,78.94
2016-05-03,78.84
2016-05-04,80.02
2016-05-05,80.18
2016-05-06,79.38
2016-05-09,80.06
2016-05-10,80.06
2016-05-11,80.49
2016-05-12,81.08
2016-05-13,80.77
2016-05-16,81.0
2016-05-17,79.51
2016-05-18,76.57
2016-05-19,76.97
2016-05-20,77.0
2016-05-23,76.15
2016-05-24,76.99
2016-05-25,76.95
2016-05-26,77.96
2016-05-27,77.98
2016-05-31,78.23
2016-06-01,79.02
2016-06-02,78.94
2016-06-03,80.08
2016-06-06,79.84
2016-06-07,79.99
2016-06-08,80.51
2016-06-09,81.26
2016-06-10,81.24
2016-06-13,81.61
2016-06-14,82.41
2016-06-15,81.53
2016-06-16,82.53
2016-06-17,82.98
2016-06-20,82.0
2016-06-21,82.0
2016-06-22,81.83
2016-06-23,82.05
2016-06-24,82.43
2016-06-27,83.99
2016-06-28,83.94
2016-06-29,84.15
2016-06-30,85.79
2016-07-01,85.63
2016-07-05,86.93
2016-07-06,87.23
2016-07-07,85.29
2016-07-08,86.01
2016-07-11,86.01
2016-07-12,84.44
2016-07-13,85.05
2016-07-14,84.75
2016-07-15,84.92
2016-07-18,85.25
