,identifier,time,returns,position,captured_returns,daily_vol,captured_returns_0_5_bps,captured_returns_1_0_bps,captured_returns_1_5_bps,captured_returns_2_0_bps,captured_returns_2_5_bps,captured_returns_3_0_bps
0,ADM,2020-01-02,-0.0018237734004791,-0.090308644,0.00016470250253713565,0.0101127087274541,0.00016470250253713565,0.00016470250253713565,0.00016470250253713565,0.00016470250253713565,0.00016470250253713565,0.00016470250253713565
1,ADM,2020-01-03,-0.0074123513127364,0.42527798,-0.0031523097798540367,0.0099721977107165,-0.0031766774234769546,-0.003201045067099872,-0.00322541271072279,-0.0032497803543457076,-0.0032741479979686255,-0.0032985156415915435
2,ADM,2020-01-06,-0.0114232718693296,0.4651986,-0.0053140901524574655,0.0099638517709387,-0.00531599994329701,-0.005317909734136554,-0.005319819524976098,-0.005321729315815643,-0.005323639106655187,-0.005325548897494731
3,ADM,2020-01-07,-0.0103664964072197,0.6303151,-0.006534159478610101,0.0101031351917287,-0.0065415767678234675,-0.006548994057036833,-0.0065564113462502,-0.006563828635463567,-0.006571245924676933,-0.0065786632138903
4,ADM,2020-01-08,-0.0095729948260916,0.7701673,-0.007372807493541766,0.0101781482642263,-0.007379082002549397,-0.0073853565115570285,-0.007391631020564659,-0.007397905529572291,-0.007404180038579922,-0.007410454547587554
5,ADM,2020-01-09,-0.0041937190748657,0.8507666,-0.0035678761152327177,0.0102068314104046,-0.0035715064445098563,-0.003575136773786995,-0.0035787671030641332,-0.003582397432341272,-0.0035860277616184106,-0.0035896580908955492
6,ADM,2020-01-10,0.0100270096549306,0.9020817,0.009045182196007655,0.0100776328976021,0.009042271590596077,0.009039360985184496,0.009036450379772918,0.009033539774361339,0.009030629168949759,0.00902771856353818
7,ADM,2020-01-13,0.0016872308699228,0.69000375,0.0011641956319322496,0.0100862077368063,0.0011542255765263018,0.001144255521120354,0.0011342854657144061,0.0011243154103084583,0.0011143453549025105,0.0011043752994965626
8,ADM,2020-01-14,-0.0023541514623224,0.8958208,-0.002108897838035081,0.0099217724294432,-0.0021192341099697167,-0.002129570381904352,-0.0021399066538389873,-0.0021502429257736224,-0.002160579197708258,-0.0021709154696428934
9,ADM,2020-01-15,0.020690078927792,0.9585914,0.0198333317581308,0.0097738867269491,0.01982965208654856,0.01982597241496632,0.019822292743384075,0.019818613071801834,0.019814933400219593,0.019811253728637353
10,ADM,2020-01-16,-0.001818216667081,0.6962191,-0.0012658771472815475,0.0103158815740914,-0.0012803280337061376,-0.0012947789201307278,-0.0013092298065553178,-0.0013236806929799079,-0.0013381315794044981,-0.0013525824658290882
11,ADM,2020-01-17,-0.0026714340705073,0.9738522,-0.002601581992660258,0.0101618152991672,-0.002614973488468545,-0.0026283649842768326,-0.0026417564800851195,-0.002655147975893407,-0.002668539471701694,-0.002681930967509981
12,ADM,2020-01-21,-0.0039712147430262,0.96940124,-0.003849700497581103,0.0100196401997505,-0.0038501330928769357,-0.0038505656881727686,-0.003850998283468602,-0.003851430878764435,-0.0038518634740602677,-0.0038522960693561006
13,ADM,2020-01-22,0.000849872528875,0.9600906,0.0008159546071359996,0.0098983035923095,0.0008158386835433247,0.0008157227599506499,0.000815606836357975,0.0008154909127653001,0.0008153749891726252,0.0008152590655799504
14,ADM,2020-01-23,-0.0144617465229649,0.95742786,-0.013846079015313125,0.0097346907300719,-0.013846719991648932,-0.01384736096798474,-0.013848001944320548,-0.013848642920656356,-0.013849283896992163,-0.01384992487332797
15,ADM,2020-01-24,-0.0164540908390911,0.939405,-0.015457055600444676,0.0099816904386989,-0.015459058501842258,-0.01546106140323984,-0.015463064304637423,-0.015465067206035008,-0.01546707010743259,-0.015469073008830173
16,ADM,2020-01-27,0.0082047329775092,0.94153833,0.007725070617679506,0.0103181652021975,0.007723718328372313,0.007722366039065119,0.0077210137497579255,0.007719661460450731,0.007718309171143538,0.007716956881836345
17,ADM,2020-01-28,-0.0050218401014496,0.80971605,-0.004066264509869254,0.0102819862451116,-0.004072170027825694,-0.004078075545782134,-0.004083981063738576,-0.004089886581695016,-0.004095792099651456,-0.004101697617607897
18,ADM,2020-01-29,0.045138215459259,0.96154964,0.043402634811634665,0.0101601433309716,0.04339512822884571,0.04338762164605675,0.0433801150632678,0.04337260848047884,0.043365101897689884,0.04335759531490093
19,ADM,2020-01-30,-0.0161612323781551,0.67842966,-0.010964259438906563,0.0132765236992539,-0.010984829886492752,-0.011005400334078944,-0.011025970781665133,-0.011046541229251323,-0.011067111676837512,-0.011087682124423704
20,ADM,2020-01-31,0.0030686380353787,0.9206363,0.002825099555491285,0.0137589484247659,0.0028176291467125825,0.0028101587379338795,0.002802688329155177,0.002795217920376474,0.0027877475115977712,0.002780277102819068
21,ADM,2020-02-03,0.0063598657269782,0.86684424,0.0055130129525755855,0.013548792641869,0.0055116275338235295,0.0055102421150714734,0.005508856696319417,0.005507471277567361,0.005506085858815305,0.005504700440063249
22,ADM,2020-02-04,0.0108726499297189,0.8015376,0.008714837440415625,0.0134086435024063,0.00871285229163589,0.008710867142856151,0.008708881994076415,0.008706896845296679,0.00870491169651694,0.008702926547737204
23,ADM,2020-02-05,-0.0013737485420449,0.732079,-0.0010056924988647634,0.0134371771060733,-0.0010081946559166654,-0.0010106968129685674,-0.0010131989700204694,-0.0010157011270723714,-0.0010182032841242734,-0.0010207054411761755
24,ADM,2020-02-06,-0.0041940252988653,0.9355224,-0.003923604518851856,0.0132298445121466,-0.003931273144666533,-0.003938941770481209,-0.0039466103962958856,-0.003954279022110562,-0.003961947647925238,-0.003969616273739915
