,identifier,time,returns,position,captured_returns,daily_vol,captured_returns_0_5_bps,captured_returns_1_0_bps,captured_returns_1_5_bps,captured_returns_2_0_bps,captured_returns_2_5_bps,captured_returns_3_0_bps
5037,HSIC,2022-01-27,0.0079144091771672,-0.6590306,-0.005215837957547629,0.0148500548210739,-0.005223460140180217,-0.005231082322812805,-0.005238704505445393,-0.005246326688077982,-0.005253948870710569,-0.005261571053343158
5038,HSIC,2022-01-28,-0.0033764714077067,-0.958057,0.003234852021303443,0.0147874069237863,0.0032252093402101033,0.0032155666591167638,0.0032059239780234242,0.0031962812969300847,0.003186638615836745,0.0031769959347434057
5039,HSIC,2022-01-31,0.0055969320883527,-0.10203905,-0.0005711056140996359,0.0145733478706564,-0.0005984073837736536,-0.0006257091534476715,-0.0006530109231216892,-0.000680312692795707,-0.0007076144624697247,-0.0007349162321437426
5040,HSIC,2022-02-01,0.0037098552982557,-0.7992387,-0.002965059858221452,0.0144203132841964,-0.002987937456207813,-0.0030108150541941735,-0.003033692652180534,-0.003056570250166895,-0.0030794478481532554,-0.0031023254461396157
5041,HSIC,2022-02-02,-0.001914312804146,-0.546393,0.0010459670724215857,0.0142174304122711,0.0010379384931116168,0.0010299099138016477,0.0010218813344916788,0.0010138527551817097,0.0010058241758717408,0.0009977955965617717
5042,HSIC,2022-02-03,-0.0002659814391237,0.28292015,-7.525150917247197e-05,0.0139937456692176,-0.00010296047222841517,-0.00013066943528435837,-0.0001583783983403016,-0.00018608736139624478,-0.00021379632445218797,-0.00024150528750813117
5043,HSIC,2022-02-04,0.0013527586983603,0.57488745,0.0007776840046662555,0.0137627773091643,0.0007675009004413739,0.0007573177962164922,0.0007471346919916106,0.000736951587766729,0.0007267684835418473,0.0007165853793169657
5044,HSIC,2022-02-07,0.0144557748928239,0.6614032,0.009561095471460817,0.0135392938649248,0.009557750741927714,0.009554406012394613,0.00955106128286151,0.009547716553328409,0.009544371823795306,0.009541027094262204
5045,HSIC,2022-02-08,-0.0113314657543688,-0.74361676,0.008426267847788549,0.0138159326980001,0.00837775904946653,0.008329250251144513,0.008280741452822494,0.008232232654500475,0.008183723856178457,0.00813521505785644
5046,HSIC,2022-02-09,-0.0024780738975151,-0.5080867,0.001259076342768074,0.0139436386594474,0.0012508629237384075,0.0012426495047087411,0.0012344360856790747,0.0012262226666494083,0.001218009247619742,0.0012097958285900753
5047,HSIC,2022-02-10,-0.0014431958025705,0.21508963,-0.00031041645705305756,0.0137315037341208,-0.00033503260037803036,-0.00035964874370300316,-0.000384264887027976,-0.0004088810303529488,-0.0004334971736779216,-0.00045811331700289443
5048,HSIC,2022-02-11,-0.0031234770308869,0.32953236,-0.0010292867419955678,0.0135106349360402,-0.0010334096905415429,-0.001037532639087518,-0.0010416555876334934,-0.0010457785361794685,-0.0010499014847254436,-0.0010540244332714187
5049,HSIC,2022-02-14,0.0566598269757108,0.4769932,0.027026352359813977,0.0133124874783111,0.027020947506001328,0.027015542652188678,0.02701013779837603,0.027004732944563382,0.026999328090750733,0.026993923236938083
5050,HSIC,2022-02-15,0.0142079968872238,0.61619306,0.00875486902309103,0.01942184194998,0.0087529302062534,0.008750991389415772,0.008749052572578143,0.008747113755740514,0.008745174938902886,0.008743236122065257
5051,HSIC,2022-02-16,-0.0013103483926595,0.57286114,-0.0007506476674721446,0.0196908853578237,-0.0007518921641528533,-0.0007531366608335619,-0.0007543811575142705,-0.0007556256541949791,-0.0007568701508756878,-0.0007581146475563964
5052,HSIC,2022-02-17,-0.0030736369614139,0.3436622,-0.0010562928474092076,0.0193970194881834,-0.001061667235768434,-0.0010670416241276603,-0.0010724160124868866,-0.001077790400846113,-0.0010831647892053393,-0.0010885391775645656
5053,HSIC,2022-02-18,-0.0003546260008743,0.08669398,-3.0743939356261796e-05,0.0191531959149477,-3.697606531319843e-05,-4.320819127013507e-05,-4.9440317227071706e-05,-5.567244318400834e-05,-6.190456914094498e-05,-6.813669509788162e-05
5054,HSIC,2022-02-22,0.0022839835654651,0.23071495,0.0005269491472214508,0.0188479225928567,0.0005233043774185417,0.0005196596076156324,0.0005160148378127232,0.0005123700680098141,0.0005087252982069049,0.0005050805284039957
5055,HSIC,2022-02-23,0.0011557530180349,0.3031559,0.0003503733452596379,0.018539045187402,0.0003484308798853432,0.00034648841451104847,0.00034454594913675376,0.00034260348376245905,0.0003406610183881643,0.00033871855301386957
5056,HSIC,2022-02-24,0.0206113191672497,0.18313476,0.0037746490803457367,0.0182329019608744,0.0037716687827909507,0.003768688485236165,0.003765708187681379,0.0037627278901265935,0.0037597475925718075,0.003756767295017022
5057,HSIC,2022-02-25,-0.0053204066159966,0.13152634,-0.000699773588625239,0.0191187850445985,-0.0007012687983500993,-0.0007027640080749596,-0.0007042592177998199,-0.0007057544275246801,-0.0007072496372495403,-0.0007087448469744006
5058,HSIC,2022-02-28,-0.0004032275012468,-0.42742142,0.00017234807149362445,0.0189900314688593,0.00015846397012540133,0.00014457986875717822,0.00013069576738895507,0.00011681166602073195,0.00010292756465250884,8.904346328428571e-05
5059,HSIC,2022-03-01,-0.0032797995679473,-0.190411,0.0006245099202679944,0.0186926379651867,0.0006186886738338324,0.0006128674273996705,0.0006070461809655084,0.0006012249345313464,0.0005954036880971845,0.0005895824416630225
5060,HSIC,2022-03-02,0.008889686873036,-0.39256412,-0.0034897720857959514,0.0184695648980631,-0.0034950013342101363,-0.003500230582624321,-0.0035054598310385056,-0.0035106890794526905,-0.0035159183278668754,-0.0035211475762810603
5061,HSIC,2022-03-03,-0.0015351298233373,-0.02814411,4.320486260334041e-05,0.018344402500027,3.388782906942346e-05,2.457079553550652e-05,1.5253762001589571e-05,5.93672846767263e-06,-3.380305066244318e-06,-1.2697338600161266e-05
5062,HSIC,2022-03-04,-0.0007210555519647,-0.28180596,0.000203197753710578,0.0180794038608735,0.0001965583730278006,0.00018991899234502318,0.00018327961166224576,0.00017664023097946834,0.00017000085029669093,0.00016336146961391348
5063,HSIC,2022-03-07,-0.0161337424900381,-0.21527253,0.003473151578934803,0.0178008183985646,0.0034715009510125003,0.003469850323090197,0.003468199695167894,0.003466549067245591,0.003464898439323288,0.0034632478114009846
5064,HSIC,2022-03-08,0.0082405251757554,-0.65228176,-0.0053751442746027885,0.0185165370894709,-0.005386073863589749,-0.005397003452576709,-0.005407933041563669,-0.005418862630550629,-0.00542979221953759,-0.005440721808524549
5065,HSIC,2022-03-09,-0.0009609166822582,0.18051836,-0.00017346310256493775,0.0183845479663126,-0.00019474534305748,-0.00021602758355002228,-0.00023730982404256455,-0.00025859206453510684,-0.0002798743050276491,-0.0003011565455201913
5066,HSIC,2022-03-10,-0.0076402691007192,-0.18101609,0.0013830116203041537,0.0180980914879608,0.0013736470920943749,0.001364282563884596,0.0013549180356748171,0.0013455535074650383,0.0013361889792552594,0.0013268244510454806
5067,HSIC,2022-03-11,0.0039160952993846,-0.53560656,-0.0020974863440412954,0.0180601336127369,-0.0021067724123643764,-0.002116058480687458,-0.002125344549010539,-0.0021346306173336198,-0.0021439166856567007,-0.002153202753979782
5068,HSIC,2022-03-14,0.0094577179808401,0.29637414,0.002803023053456819,0.0177904004565413,0.0027811407702074396,0.00275925848695806,0.0027373762037086807,0.0027154939204593015,0.0026936116372099222,0.0026717293539605426
5069,HSIC,2022-03-15,-0.0002470733296695,0.23916556,-5.909143110595646e-05,0.0177240919886377,-6.058694469251536e-05,-6.208245827907427e-05,-6.357797186563317e-05,-6.507348545219207e-05,-6.656899903875098e-05,-6.806451262530988e-05
5070,HSIC,2022-03-16,0.0030146569230616,0.025545323,7.701038564045384e-05,0.0174395202147233,7.13272091252355e-05,6.564403261001715e-05,5.996085609479881e-05,5.427767957958047e-05,4.8594503064362136e-05,4.2911326549143794e-05
5071,HSIC,2022-03-17,0.0032371721196795,0.15476784,0.0005010101402341496,0.0171603400639456,0.0004974411486971559,0.0004938721571601622,0.0004903031656231685,0.00048673417408617484,0.0004831651825491812,0.0004795961910121875
5072,HSIC,2022-03-18,0.0058352398244238,0.13185818,0.0007694241319011452,0.0168872317097522,0.0007688520980756878,0.0007682800642502304,0.000767708030424773,0.0007671359965993157,0.0007665639627738583,0.000765991928948401
5073,HSIC,2022-03-21,0.0023148764120544,0.06797814,0.00015736100136789385,0.0166665165930127,0.00015559900970244566,0.00015383701803699744,0.00015207502637154926,0.00015031303470610107,0.00014855104304065285,0.00014678905137520466
5074,HSIC,2022-03-22,-0.0046880447882051,-0.025250778,0.00011837677633609981,0.0163923519033645,0.00011572198906050124,0.00011306720178490268,0.0001104124145093041,0.00010775762723370553,0.00010510283995810696,0.0001024480526825084
5075,HSIC,2022-03-23,0.0005299636297371,-0.58171004,-0.0003082851645546248,0.0162439233893624,-0.0003244764691677594,-0.0003406677737808941,-0.0003568590783940287,-0.00037305038300716335,-0.00038924168762029796,-0.00040543299223343263
5076,HSIC,2022-03-24,-0.0002691422457582,-0.08331303,2.242305679843819e-05,0.0159782658812573,7.967434835613333e-06,-6.488187127211526e-06,-2.094380909003639e-05,-3.539943105286124e-05,-4.98550530156861e-05,-6.431067497851098e-05
5077,HSIC,2022-03-25,0.0045149039314896,-0.17993397,-0.0008123845669177425,0.0157233341680801,-0.0008153277792379592,-0.0008182709915581759,-0.0008212142038783926,-0.0008241574161986092,-0.0008271006285188258,-0.0008300438408390425
5078,HSIC,2022-03-28,0.0015162234988381,0.28732306,0.0004356459717692485,0.0154902385362989,0.0004214758910062242,0.0004073058102431999,0.0003931357294801756,0.00037896564871715133,0.00036479556795412704,0.0003506254871911027
5079,HSIC,2022-03-29,-0.0061515356701031,0.12503083,-0.0007691316136988055,0.0152341992911388,-0.0007740174691359633,-0.0007789033245731212,-0.0007837891800102789,-0.0007886750354474367,-0.0007935608908845945,-0.0007984467463217524
5080,HSIC,2022-03-30,-0.0046857224523149,-0.6580422,0.0030834030757761577,0.0151501383135738,0.0030590045329218596,0.0030346059900675615,0.0030102074472132634,0.0029858089043589653,0.0029614103615046667,0.0029370118186503686
5081,HSIC,2022-03-31,0.0155322524616424,-0.64956987,-0.010089283197427683,0.0150012804380327,-0.010089346398746368,-0.010089409600065054,-0.01008947280138374,-0.010089536002702426,-0.010089599204021112,-0.010089662405339797
5082,HSIC,2022-04-01,-0.011260330328303,0.12263147,-0.0013808708369601752,0.0153102229125826,-0.0014051128828423693,-0.0014293549287245637,-0.0014535969746067579,-0.0014778390204889522,-0.0015020810663711464,-0.0015263231122533407
5083,HSIC,2022-04-04,-0.003957549622093,-0.60478956,0.0023934846751240916,0.0155163784737776,0.002371285275833516,0.0023490858765429405,0.002326886477252365,0.0023046870779617895,0.002282487678671214,0.0022602882793806385
5084,HSIC,2022-04-05,0.0111017734291562,-0.6013127,-0.00667563732143332,0.0153348921413232,-0.006675748143449263,-0.006675858965465207,-0.00667596978748115,-0.006676080609497093,-0.006676191431513036,-0.006676302253528979
5085,HSIC,2022-04-06,0.0056153443402737,0.233029,0.0013085380370213085,0.0153648043819162,0.0012828466221751825,0.0012571552073290563,0.0012314637924829303,0.0012057723776368043,0.0011800809627906784,0.0011543895479445522
5086,HSIC,2022-04-07,0.0061262624587856,0.34942526,0.002140670829529935,0.0151620522371682,0.0021369480563135394,0.0021332252830971433,0.0021295025098807476,0.002125779736664352,0.002122056963447956,0.00211833419023156
5087,HSIC,2022-04-08,-0.0013265883728048,0.30906022,-0.00040999568897582677,0.0149706264066842,-0.00041113033820614425,-0.0004122649874364618,-0.00041339963666677925,-0.0004145342858970967,-0.00041566893512741426,-0.00041680358435773173
5088,HSIC,2022-04-11,0.0058949495166695,-0.055454183,-0.0003268996114535462,0.0147480400392845,-0.00033842967599444153,-0.0003499597405353369,-0.0003614898050762322,-0.00037301986961712754,-0.0003845499341580229,-0.0003960799986989182
5089,HSIC,2022-04-12,0.0065609410775652,0.29298374,0.0019222490585523533,0.014553934950573,0.0019109616213049696,0.0018996741840575856,0.001888386746810202,0.0018770993095628182,0.0018658118723154343,0.0018545244350680506
5090,HSIC,2022-04-13,-0.0042889404989264,0.19028786,-0.0008161333016927708,0.014374516813881,-0.0008193899542726005,-0.0008226466068524302,-0.0008259032594322599,-0.0008291599120120895,-0.0008324165645919192,-0.0008356732171717488
5091,HSIC,2022-04-14,-0.0088614239078953,-0.49186096,0.004358588434447451,0.0142393844539897,0.004336014434332381,0.0043134404342173105,0.00429086643410224,0.00426829243398717,0.0042457184338721,0.004223144433757029
